Timestamp,Full name of resource,Website URL,GitHub URL,Documentation URL,Logo URL,"Brief description (e.g, copy and paste their vision/purpose)",,Area of neuroscience (Select all that apply),Where does your data come from? (Select all that apply),Data Type (Select all that apply),"In the SEARCH/PLAN stage, you can use this to","In the DATA COLLECTION stage, you can use this to ","In the ANALYSIS stage, people can use this to ","In the WRITING and PUBLICATION stage, people can use this to ","For OUTREACH, people can use this resource to ",This resource falls under the category of ,Logo Filename
6/16/2023 15:54:05,UCLA Miniscope,http://miniscope.org/index.php/Main_Page,https://github.com/Aharoni-Lab/Miniscope-v4,,nan,"Open-source, user-friendly miniature head-mounted microscope for neural imaging in freely behaving animals.",,"Developmental neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience","Mice, Rats","In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, Microscopy",,Collect data (hardware),,,,Open Hardware,miniscope.jpg
6/16/2023 16:02:47,Federated Research Data Repository (FRDR),https://www.frdr-dfdr.ca/repo/,,https://www.frdr-dfdr.ca/docs/en/documentation/,https://prod-web-c1.frdr.ca/repo?locale=en,"The Federated Research Data Repository (FRDR) is a bilingual publishing platform for sharing and preserving Canadian research data. It is a curated, general-purpose repository, custom built for large datasets.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,"Find data, Share data",,Share data,,Open Data,frdr.png
6/16/2023 16:09:50,Neurodata Without Borders (NWB),https://www.nwb.org/,https://github.com/NeurodataWithoutBorders/,https://nwb-overview.readthedocs.io/en/latest/,https://www.nwb.org/wp-content/uploads/2019/09/logo_brain_text_transp_hor_350x64.png,NWB provides a common self-describing format and standard ideal for archiving and sharing neurophysiology data.,,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","iEEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, Behavior",,Organize and track datasets,,Share data,,Open Data,nwb.png
6/16/2023 16:13:56,Clinical Biospecimen Imaging and Genetic Repository (C-BIG),https://cbigr-open.loris.ca/,,,nan,Biorepository of data and biological samples from patients with neurological disease and healthy control.,,"Developmental neuroscience, Molecular and cellular neuroscience, Translational and Clinical neuroscience, Neuroimaging, OMICs / Bioinformatics",Humans,"MRI, PET, EEG, iEEG, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,Share data,,Share data,Patient engagement and partnership,Open Data,cbig.png
6/16/2023 16:27:20,PYthon Neural Analysis Package (pynapple),https://pynapple-org.github.io/pynapple/,https://github.com/pynapple-org,,https://github.com/pynapple-org/.github/blob/main/pynapple_logo.png,"Pynapple is an open-source light-weight python library for neurophysiological data analysis. The goal is to offer a versatile set of tools to study typical data in the field, i.e. time series (spike times, behavioral events, etc.) and time intervals (trials, brain states, etc.). It also provides users with generic functions for neuroscience such as tuning curves and cross-correlograms.",,"Developmental neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience","Non-human Primates, Mice, Rats","iEEG, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Behavior",,,"Analyze data, Data Visualization",,,Open Code/Software,pynapple.png
7/11/2023 10:20:42,HardwareX,https://www.hardware-x.com/,,,https://pbs.twimg.com/profile_images/1546778109797621760/tyewKNxo_400x400.jpg,"HardwareX is a multidisciplinary, open access, peer-reviewed journal which publishes articles that describe the design, construction and customization of scientific devices and equipment.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior",,"Collect data (hardware), Present stimuli",,"Write using open tools, Share methods/protocols",,Open Hardware,hardwarex.jpg
7/11/2023 11:37:37,Open Labware,https://open-labware.net/,,,https://openlabwaredotnet.files.wordpress.com/2015/11/open-labware-logo.jpg?w=346,Open-Labware.net is a repository of open source plans and protocols to 3D-Print lab equipment.,,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior",,Collect data (hardware),,,,Open Hardware,openlabware.jpg
7/11/2023 12:01:54,OpenBCI,https://openbci.com/,https://github.com/OpenBCI,,https://avatars.githubusercontent.com/u/6003329?s=200&v=4,OpenBCI creates open-source tools for biosensing and neuroscience.,,"Developmental neuroscience, Cognitive neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Computational neuroscience, Neuroimaging",Humans,"EEG, Eye Tracking, Behavior",,Collect data (hardware),,,,Open Hardware,openbci.png
7/11/2023 12:10:06,Opentrons,https://opentrons.com/about/mission/,https://github.com/Opentrons,,https://avatars.githubusercontent.com/u/6139147?s=200&v=4,Open-source liquid handling automated robots for scientists.,,"Molecular and cellular neuroscience, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells",OMICS,,Collect data (hardware),,,,"Open Methods/Protocols, Open Hardware",opentrons.png
7/11/2023 12:27:11,3Dneuro,https://www.3dneuro.com/,,,https://new.3dneuro.com/wp-content/uploads/2023/05/1-01-cropped-768x522-1.jpg,"Open-source hardware for systems neuroscience - microdrive systems, rat and mouse head fixation, and more.",,"Behavioral neuroscience, Neurophysiology, Computational neuroscience, Systems neuroscience","Mice, Rats","In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, Behavior",,Collect data (hardware),,,,Open Hardware,3dneuro.png
7/11/2023 13:12:53,Expyriment,https://expyriment.org/,https://github.com/expyriment,https://docs.expyriment.org/,https://docs.expyriment.org/_images/expyriment_logo.png,Open-source and platform independent light-weight Python library for designing and conducting timing-critical behavioural and neuroimaging experiments,,"Developmental neuroscience, Cognitive neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Computational neuroscience, Neuroimaging",Humans,"MRI, PET, EEG, iEEG, MEG, Eye Tracking, Behavior",,"Collect data (software), Present stimuli",,Share code,Participate in the open science community,Open Code/Software,expyriment.png
7/11/2023 13:22:21,Psychtoolbox,https://www.psychtoolbox.net/,https://github.com/Psychtoolbox-3/Psychtoolbox-3/tree/master,,https://pbs.twimg.com/profile_images/1503284629721210880/25jiI_2O_400x400.jpg,The Psychophysics Toolbox is a set of freely available functions that extends MATLAB and Octave with functions for research-grade stimulus presentation and response collection for neuroscience and other application domains. ,,"Developmental neuroscience, Cognitive neuroscience, Sensory neuroscience, Computational neuroscience, Neuroimaging","Humans, Non-human Primates","MRI, PET, EEG, iEEG, MEG, Eye Tracking, Behavior",,"Collect data (software), Present stimuli",,,,Open Code/Software,psychtoolbox.jpg
7/11/2023 13:30:04,jsPsych,https://www.jspsych.org/7.3/,https://github.com/jspsych,,https://www.jspsych.org/7.3/img/jspsych-logo.jpg,Open-source JavaScript framework for creating behavioral experiments that run in a web browser.,,"Developmental neuroscience, Cognitive neuroscience, Sensory neuroscience, Computational neuroscience",Humans,"Eye Tracking, Behavior",,"Collect data (software), Present stimuli",,Share methods/protocols,,Open Code/Software,jspsych.jpg
7/11/2023 13:41:51,lab.js,https://lab.js.org/,https://github.com/FelixHenninger/lab.js,https://labjs.readthedocs.io/en/latest/,https://github.com/FelixHenninger/lab.js/blob/main/docs/media/logo/yellow/dot_200.png?raw=true,"lab.js is a free, open, online study builder
for the behavioral and cognitive sciences.",,"Developmental neuroscience, Cognitive neuroscience, Sensory neuroscience, Computational neuroscience",Humans,"Eye Tracking, Behavior",,"Collect data (software), Present stimuli",,,,Open Code/Software,labjs.png
7/11/2023 13:48:57,StimuliApp,https://www.stimuliapp.com/,https://github.com/marinraf/StimuliApp,,https://www.stimuliapp.com/wp-content/uploads/2020/03/Group-4@2x.png,StimuliApp is a free open-source app designed to create psychophysical tests with precise timing on iOS and iPadOS devices.,,"Developmental neuroscience, Cognitive neuroscience, Sensory neuroscience, Computational neuroscience","Humans, Non-human Primates","Eye Tracking, Behavior",,"Collect data (software), Present stimuli",,,,Open Code/Software,stimuliapp.png
7/11/2023 14:46:38,Dryad,https://datadryad.org/,,,https://datadryad.org/assets/stash_engine/logo_dryad-b63b80e8fdc94e79fe893976701a292b54840f9f288be4367fa67b6e208ddd0f.png,Dryad is an open data publishing platform and a community committed to the open availability and routine re-use of all research data.,,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,Share data,,Share data,,Open Data,dryad.png
7/11/2023 14:52:15,Zenodo,https://zenodo.org/,,,https://pbs.twimg.com/profile_images/1281547486050516992/XjMaPWj3_400x400.jpg,"Simple and innovative service enabling researchers to share and showcase research results (data, code, protocols, etc.) from all fields of science.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,Share and find lab protocols / notebooks,Find or share code,"Share data, Share code, Share methods/protocols, Use open licences",Share posters and presentations,"Open Data, Open Methods/Protocols, Open Code/Software",zenodo.jpg
7/17/2023 11:20:53,figshare,https://figshare.com/,,https://knowledge.figshare.com/,https://pbs.twimg.com/profile_images/1756579306/spiralsticker_400x400.png,"figshare is a repository where users can make all of their research outputs available in a citable, shareable and discoverable manner.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,"Find data, Store data, Share data, Share and find lab protocols / notebooks",,"Share data, Share code, Share methods/protocols",,"Open Publishing, Open Data, Open Methods/Protocols",figshare.png
7/17/2023 11:25:39,Google Dataset Search,https://datasetsearch.research.google.com/,,https://datasetsearch.research.google.com/help,https://commons.wikimedia.org/wiki/File:Google_%22G%22_Logo.svg,"Dataset Search is a search engine for datasets. Using a simple keyword search, users can discover datasets hosted in thousands of repositories across the Web.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,Find data,,,,Open Data,googledatasetsearch.png
7/17/2023 11:31:19,Awesome Public Datasets,https://github.com/awesomedata/awesome-public-datasets#neuroscience,https://github.com/awesomedata/awesome-public-datasets#neuroscience,,nan,"Community built list of high-quality public data sources, categorized by topics (including Neuroscience).",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior",Find open/shared datasets to re-use,Find data,,,Participate in the open science community,Open Data,noname.png
7/17/2023 11:42:06,BossDB,https://bossdb.org/,https://github.com/jhuapl-boss/boss/,https://bossdb.org/get-started,https://pbs.twimg.com/profile_images/873297449758191616/YrR4P5Js_400x400.jpg,"BossDB is a volumetric data repository for 3D and 4D neuroscience datasets, focused on Electron Microscopy and X-ray Micro/Nano Tomography.",,"Developmental neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","OMICS, Microscopy",Find open/shared datasets to re-use,Find data,,,,Open Data,bossdb.jpg
7/17/2023 11:46:37,UK Biobank,https://www.ukbiobank.ac.uk/,,,https://twitter.com/uk_biobank,"A large-scale biomedical database and research resource, containing in-depth genetic, imaging and health information from half a million UK participants.",,"Developmental neuroscience, Cognitive neuroscience, Translational and Clinical neuroscience, Computational neuroscience, Neuroimaging, OMICs / Bioinformatics",Humans,"MRI, OMICS, Behavior, Clinical Data",Find open/shared datasets to re-use,Find data,,,,Open Data,ukbiobank.jpeg
7/17/2023 11:55:01,Human Connectome Project,https://www.humanconnectome.org/,,,https://www.humanconnectome.org/,"HCP is a set of several large scale Human MRI datasets across the lifespan, in health and disease states.",,"Developmental neuroscience, Cognitive neuroscience, Translational and Clinical neuroscience, Sensory neuroscience, Computational neuroscience, Neuroimaging",Humans,"MRI, Behavior, Clinical Data",Find open/shared datasets to re-use,Find data,,,,Open Data,humanconnectomeproject.png
7/17/2023 12:33:57,International Brain Laboratory,https://www.internationalbrainlab.com,https://github.com/int-brain-lab,,https://pbs.twimg.com/profile_images/849231806121611264/_cuYgrvD_400x400.jpg,"Experimental & theoretical neuroscientists collaborating to understand brainwide circuits for complex behavior - Sharing Data, Protocol and Tools.",,"Behavioral neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience",Mice,"In-Vivo Electrophysiology, Behavior",Find open/shared datasets to re-use,Find data,,,,Open Data,internationalbrainlaboratory.jpg
7/17/2023 12:37:29,re3data,https://www.re3data.org/,,,https://www.re3data.org/,The Registry of Research Data Repositories. Find an appropriate data repository to share your data.,,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",,,,"Share data, Share code",,"Open Data, Open Code/Software",re3data.png
7/17/2023 12:50:06,Addgene,https://www.addgene.org/,,,https://www.addgene.org/,"Addgene helps scientists around the world find and share research materials - plasmids, viral preps, antibodies, data, and more.",,"Developmental neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Systems neuroscience, OMICs / Bioinformatics","Mice, Rats, Birds, C.Elegans, Drosophila","In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS","Find or share materials (e.g., biological samples)",,,Share methods/protocols,,Open Methods/Protocols,addgene.jpg
7/17/2023 14:30:56,The Canadian Open Neuroscience Platform,https://conp.ca/,,,https://pbs.twimg.com/profile_images/1038076314803220487/sI9QxfZh_400x400.jpg,CONP provides an infrastructure for the promotion of open-science workflows and the sharing of neuroscience data.,,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",Find open/shared datasets to re-use,"Find data, Share data","Analyze data, Create a reproducible data-analysis environment, Find or share code","Share data, Share code",Participate in the open science community,"Open Data, Open Methods/Protocols, Open Code/Software",canadianopenneuroscienceplatform.jpg
7/17/2023 14:40:00,NeuroLibre,https://neurolibre.org/,https://github.com/neurolibre,https://docs.neurolibre.org/en/latest/,https://neurolibre.org/assets/neurolibre_logo-e48e7d6367036741b8e029e5832b529a7383ba592cadae905fb854735dfb3ba6.svg,"NeuroLibre is a powerful preprint server for reproducible neuroscience notebooks that seamlessly integrate data, code, runtime, text and (preferably interactive) figures.",,"Developmental neuroscience, Cognitive neuroscience, Molecular and cellular neuroscience, Behavioral neuroscience, Translational and Clinical neuroscience, Neurophysiology, Sensory neuroscience, Computational neuroscience, Systems neuroscience, Neuroimaging, OMICs / Bioinformatics","Humans, Non-human Primates, Mice, Rats, Birds, C.Elegans, Drosophila, Stem Cells","MRI, PET, EEG, iEEG, MEG, Eye Tracking, In-Vivo Electrophysiology, Ex-Vivo Electrophysiology, Single Cell Calcium Imaging, Population Calcium Imaging, OMICS, Microscopy, Behavior, Clinical Data",,,,"Write using open tools, Share preprints, Share code, Share methods/protocols, Use open peer review, Use open licences, Publish more than just research reports (e.g., the code, text, figures all in one place), Make sure all research outputs are linked together and citable",,"Open Publishing, Open Code/Software",neurolibre.svg
